"rep","group","store","mix","feed","total"
"Acetic acid","Acid",0.0101751879194618,0.00139606150477343,0.0139606150477343,0.0253563158381418
"Acetaldehyde","Aldehyde",0.367675849327749,0.0458735616598177,0.458735616598177,0.673445893290243
"Propyl acetate","Ester",0.627080972380344,0.0752573639910799,0.752573639910799,0.914673999183802
"Ethanol","Alcohol",0.0874806054230447,0.0111527662012069,0.111527662012069,0.198293845609185
