"rep","group","store","mix","feed","total"
"Acetic acid","Acid",0.00795682593398406,0.00125703354977657,0.0125703354977657,0.0216584974078973
"Acetaldehyde","Aldehyde",0.372122630885427,0.0827038020623244,0.827038020623244,0.900382630401275
"Propyl acetate","Ester",1,0.1,1,1
"Ethanol","Alcohol",0.0931346352371832,0.0211529622105243,0.211529622105243,0.300088662719838
