"rep","group","store","mix","feed","total"
"Acetic acid","Acid",0.0112168973587817,0.00176506878270959,0.0176506878270959,0.0303840642003012
"Acetaldehyde","Aldehyde",0.391990363458299,0.0617345385528166,0.617345385528166,0.781705322256169
"Propyl acetate","Ester",0.662473423143488,0.0907054900637736,0.907054900637736,0.971474120726836
"Ethanol","Alcohol",0.094176579980262,0.0149817620772675,0.149817620772675,0.241422570963791
